block,day,order,category,task_type,name,passage_ref,focus_en,focus_zh,reading_notes_en,reading_notes_zh,key_idea_en,key_idea_zh,reflection_en,reflection_zh,practice_en,practice_zh,scripture_reference,xp_weight
1,1,1,Mental,devotional,Day 1 — A Letter Written from Prison,Ephesians 1:1–2 · Acts 19,"Who wrote this, where, and why does it matter?",,"Before diving into Ephesians, it helps to know who Paul was when he wrote it — a prisoner. Not a pastor in a comfortable office, but someone in chains. Yet the letter he writes from that cell is full of joy, vision, and hope. Read Acts 19 to get a feel for Paul's history with Ephesus — three years of ministry, healings, riots, a city turned upside down. The people receiving this letter knew Paul personally. Now he writes to remind them of the bigger picture — God's dream for the world. This letter is the blueprint for the New Human Project: what God is doing in and through Jesus to create a whole new kind of people.",,"Ephesians isn't written to fix a problem. It's a vision — God's vision for a new humanity, laid out from a prison cell.",,Paul writes with passion and hope despite being imprisoned. What does that say about where true hope comes from?,,Read Ephesians 1:1–2 slowly. Notice how Paul describes himself and his readers. What words stand out to you?,,,2
1,1,2,Mental,scripture_reading,Read Ephesians 1:1-2,,,,,,,,,,,,Ephesians 1:1-2,1
1,1,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,1,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,2,1,Mental,devotional,Day 2 — You Were Chosen Before the World Began,Ephesians 1:3–6,"God chose you — not because of what you've done, but because of his love.",,"Paul opens with an explosion of praise — blessing after blessing stacked on top of each other. And it all starts with this: God chose us before he made the world. Not after we proved ourselves. Not after we cleaned up our lives. Before any of it existed. The reason? Love. Pure and simple. The goal of being chosen is not to feel superior to others — it's to become holy and to be adopted into God's own family. This is where the new humanity begins: not with our effort, but with God's love reaching back before time itself.",,"The new humanity starts with God's love, not our performance. You were chosen before you existed.",,Does it feel hard to believe that God loves you unconditionally — before you do anything to earn it? Why or why not?,,Sit quietly for two minutes and let this sink in: God loved you before the world began. What emotions does that stir?,,,2
1,2,2,Mental,scripture_reading,Read Ephesians 1:3-6,,,,,,,,,,,,Ephesians 1:3-6,1
1,2,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,2,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,3,1,Mental,devotional,Day 3 — The Spirit as God's Down Payment,Ephesians 1:7–14,What God has given us now — and the promise of so much more to come.,,"Paul keeps piling on the blessings: forgiveness, redemption, wisdom, and God's plan revealed to us. Then he introduces the Holy Spirit — and uses a fascinating word for him. The Spirit is God's 'deposit' or 'down payment' on our future. In Paul's day, a deposit was a legal commitment — a guarantee that the full payment was coming. The Spirit living inside you is not the whole of what God has planned. It's the first instalment — God saying: 'What I've started in you, I will finish.' Every member of the new humanity carries this guarantee inside them.",,The Holy Spirit in you today is God's guarantee that the best is still ahead.,,"When life feels uncertain or your faith feels weak, how does knowing the Spirit is God's guarantee help you?",,Read 1:13–14 again. Thank God specifically for the gift of his Spirit as a sign of what's coming.,,,2
1,3,2,Mental,scripture_reading,Read Ephesians 1:7-14,,,,,,,,,,,,Ephesians 1:7-14,1
1,3,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,3,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,4,1,Mental,devotional,Day 4 — Praying to Know God Better,Ephesians 1:15–23,Paul's prayer — and why knowing God is better than knowing about God.,,"Paul prays for his readers — and what he asks for is striking. He doesn't pray for their comfort or safety. He prays that they would know God better. There's a difference between knowing facts about someone and actually knowing them. Paul wants the Ephesians to experience God's reality — to feel the hope of their calling, to grasp what God has given them, and to understand that the same power that raised Jesus from the dead is at work in them right now. People who know God this way are equipped to live as the new humanity in a world that doesn't know him.",,The most important thing you can pursue is knowing God himself — not just knowing things about him.,,"If someone could see your prayer life, would it look more like asking God to fix things, or asking to know him more deeply?",,"Use Paul's prayer as your own today. Pray verses 17–19 out loud, replacing 'they' with 'I'.",,,2
1,4,2,Mental,scripture_reading,Read Ephesians 1:15-23,,,,,,,,,,,,Ephesians 1:15-23,1
1,4,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,4,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,5,1,Mental,devotional,Day 5 — Dead — But God,Ephesians 2:1–7,"The human condition, honestly described — and the grace that changes everything.",,"Paul gets honest here. Before Christ, we weren't just struggling — we were spiritually dead. Drifting. Following patterns and impulses that led nowhere good. But then comes verse 4 — two of the most important words in the Bible: 'But God.' Because of his great love, God stepped in. He didn't patch us up. He raised us to life. This is where the New Human Project begins for each of us personally — not with a resolution to do better, but with God breathing life into what was dead. The same power that raised Jesus from the grave is the power that woke you up spiritually.",,'But God' — the two words that describe the moment grace interrupted everything and the new humanity became possible for you.,,Can you identify your own 'but God' moment — when grace showed up and changed the direction of your life?,,Write down your 'but God' story in a few sentences. Keep it somewhere you can return to when faith feels difficult.,,,2
1,5,2,Mental,scripture_reading,Read Ephesians 2:1-7,,,,,,,,,,,,Ephesians 2:1-7,1
1,5,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,5,4,Physical,exercise,Exercise,,,,,,,,,,,,,
1,6,1,Mental,devotional,Day 6 — God's Masterpiece,Ephesians 2:8–10,"Saved by grace, not effort — and made for a purpose.",,"We are saved entirely by grace, through faith — not by anything we do. No room for boasting, no room for comparing ourselves to others. And yet verse 10 flips it. We are God's 'handiwork' — his masterpiece, created in Christ Jesus for good works that God prepared in advance for us to do. Works don't save us. But being saved changes us into people who naturally want to do good. This is the pattern for every member of the new humanity: received freely, lived out fully. You were rescued AND you were given a purpose.",,You didn't earn your place in God's new humanity — it was given to you. And that gift comes with a calling.,,"Do you tend to live more like you have to earn God's approval, or like you're free to serve from a place of already being loved?",,Ask yourself honestly: what good works do you sense God has prepared specifically for you? Write one down.,,,2
1,6,2,Mental,scripture_reading,Read Ephesians 2:8-10,,,,,,,,,,,,Ephesians 2:8-10,1
1,6,3,Emotional,mood_log,Mood Log,,,,,,,,,,,,,
1,6,4,Physical,exercise,Exercise,,,,,,,,,,,,,
